year_month,ADM1_EN,convergence_score,metric
2022-05,Western Equatoria,0,n_events_total
2022-06,Western Equatoria,0,n_events_total
2022-07,Western Equatoria,0,n_events_total
2022-08,Western Equatoria,1,n_events_total
2022-09,Western Equatoria,0,n_events_total
2022-10,Western Equatoria,1,n_events_total
2022-11,Western Equatoria,0,n_events_total
2022-12,Western Equatoria,1,n_events_total
2023-01,Western Equatoria,1,n_events_total
2023-02,Western Equatoria,1,n_events_total
2023-03,Western Equatoria,0,n_events_total
2023-04,Western Equatoria,1,n_events_total
2023-05,Western Equatoria,0,n_events_total
2023-06,Western Equatoria,0,n_events_total
2023-07,Western Equatoria,0,n_events_total
2023-08,Western Equatoria,1,n_events_total
2023-09,Western Equatoria,1,n_events_total
2023-10,Western Equatoria,0,n_events_total
2023-11,Western Equatoria,0,n_events_total
2023-12,Western Equatoria,0,n_events_total
2024-01,Western Equatoria,0,n_events_total
2024-02,Western Equatoria,0,n_events_total
2024-03,Western Equatoria,0,n_events_total
2024-04,Western Equatoria,0,n_events_total
2024-05,Western Equatoria,2,n_events_total
2024-06,Western Equatoria,0,n_events_total
2024-07,Western Equatoria,0,n_events_total
2024-08,Western Equatoria,2,n_events_total
2024-09,Western Equatoria,0,n_events_total
2024-10,Western Equatoria,0,n_events_total
2024-11,Western Equatoria,0,n_events_total
2024-12,Western Equatoria,1,n_events_total
2025-01,Western Equatoria,0,n_events_total
2025-02,Western Equatoria,2,n_events_total
2025-03,Western Equatoria,1,n_events_total
2025-04,Western Equatoria,1,n_events_total
2025-05,Western Equatoria,3,n_events_total
2025-06,Western Equatoria,0,n_events_total
2025-07,Western Equatoria,1,n_events_total
2025-08,Western Equatoria,1,n_events_total
2025-09,Western Equatoria,1,n_events_total
2025-10,Western Equatoria,0,n_events_total
2025-11,Western Equatoria,2,n_events_total
2025-12,Western Equatoria,0,n_events_total
2014-03,Central Equatoria,1,n_fatality_proxy
2014-04,Central Equatoria,1,n_fatality_proxy
2014-05,Central Equatoria,3,n_fatality_proxy
2014-07,Central Equatoria,1,n_fatality_proxy
2014-11,Central Equatoria,1,n_fatality_proxy
2014-12,Central Equatoria,2,n_fatality_proxy
2015-01,Central Equatoria,1,n_fatality_proxy
2015-02,Central Equatoria,6,n_fatality_proxy
2015-03,Central Equatoria,6,n_fatality_proxy
2015-04,Central Equatoria,6,n_fatality_proxy
2015-05,Central Equatoria,6,n_fatality_proxy
2015-06,Central Equatoria,6,n_fatality_proxy
2015-07,Central Equatoria,6,n_fatality_proxy
2015-08,Central Equatoria,6,n_fatality_proxy
2015-09,Central Equatoria,6,n_fatality_proxy
2015-10,Central Equatoria,6,n_fatality_proxy
2015-11,Central Equatoria,6,n_fatality_proxy
2015-12,Central Equatoria,6,n_fatality_proxy
2016-01,Central Equatoria,6,n_fatality_proxy
2016-02,Central Equatoria,6,n_fatality_proxy
2016-03,Central Equatoria,6,n_fatality_proxy
2016-04,Central Equatoria,6,n_fatality_proxy
2016-05,Central Equatoria,6,n_fatality_proxy
2016-06,Central Equatoria,6,n_fatality_proxy
2016-07,Central Equatoria,6,n_fatality_proxy
2016-08,Central Equatoria,6,n_fatality_proxy
2016-09,Central Equatoria,6,n_fatality_proxy
2016-10,Central Equatoria,6,n_fatality_proxy
2016-11,Central Equatoria,6,n_fatality_proxy
2016-12,Central Equatoria,6,n_fatality_proxy
2017-01,Central Equatoria,6,n_fatality_proxy
2017-02,Central Equatoria,6,n_fatality_proxy
2017-03,Central Equatoria,6,n_fatality_proxy
2017-04,Central Equatoria,6,n_fatality_proxy
2017-05,Central Equatoria,6,n_fatality_proxy
2017-06,Central Equatoria,6,n_fatality_proxy
2017-07,Central Equatoria,6,n_fatality_proxy
2017-08,Central Equatoria,6,n_fatality_proxy
2017-09,Central Equatoria,6,n_fatality_proxy
2017-10,Central Equatoria,6,n_fatality_proxy
2017-11,Central Equatoria,6,n_fatality_proxy
2017-12,Central Equatoria,5,n_fatality_proxy
2018-01,Central Equatoria,5,n_fatality_proxy
2018-02,Central Equatoria,5,n_fatality_proxy
2018-03,Central Equatoria,5,n_fatality_proxy
2018-04,Central Equatoria,6,n_fatality_proxy
2018-05,Central Equatoria,5,n_fatality_proxy
2018-06,Central Equatoria,6,n_fatality_proxy
2018-07,Central Equatoria,5,n_fatality_proxy
2018-08,Central Equatoria,6,n_fatality_proxy
2018-09,Central Equatoria,6,n_fatality_proxy
2018-10,Central Equatoria,5,n_fatality_proxy
2018-11,Central Equatoria,6,n_fatality_proxy
2018-12,Central Equatoria,6,n_fatality_proxy
2019-01,Central Equatoria,5,n_fatality_proxy
2019-02,Central Equatoria,5,n_fatality_proxy
2019-03,Central Equatoria,4,n_fatality_proxy
2019-04,Central Equatoria,4,n_fatality_proxy
2019-05,Central Equatoria,4,n_fatality_proxy
2019-06,Central Equatoria,4,n_fatality_proxy
2019-07,Central Equatoria,4,n_fatality_proxy
2019-08,Central Equatoria,4,n_fatality_proxy
2019-09,Central Equatoria,3,n_fatality_proxy
2019-10,Central Equatoria,4,n_fatality_proxy
2019-11,Central Equatoria,4,n_fatality_proxy
2019-12,Central Equatoria,4,n_fatality_proxy
2020-01,Central Equatoria,4,n_fatality_proxy
2020-02,Central Equatoria,5,n_fatality_proxy
2020-03,Central Equatoria,4,n_fatality_proxy
2020-04,Central Equatoria,4,n_fatality_proxy
2020-05,Central Equatoria,5,n_fatality_proxy
2020-06,Central Equatoria,4,n_fatality_proxy
2020-07,Central Equatoria,3,n_fatality_proxy
2020-08,Central Equatoria,5,n_fatality_proxy
2020-09,Central Equatoria,4,n_fatality_proxy
2020-10,Central Equatoria,4,n_fatality_proxy
2020-11,Central Equatoria,5,n_fatality_proxy
2020-12,Central Equatoria,4,n_fatality_proxy
2021-01,Central Equatoria,4,n_fatality_proxy
2021-02,Central Equatoria,4,n_fatality_proxy
2021-03,Central Equatoria,6,n_fatality_proxy
2021-04,Central Equatoria,5,n_fatality_proxy
2021-05,Central Equatoria,6,n_fatality_proxy
2021-06,Central Equatoria,5,n_fatality_proxy
2021-07,Central Equatoria,5,n_fatality_proxy
2021-08,Central Equatoria,5,n_fatality_proxy
2021-09,Central Equatoria,5,n_fatality_proxy
2021-10,Central Equatoria,4,n_fatality_proxy
2021-11,Central Equatoria,4,n_fatality_proxy
2021-12,Central Equatoria,5,n_fatality_proxy
2022-01,Central Equatoria,4,n_fatality_proxy
2022-02,Central Equatoria,4,n_fatality_proxy
2022-03,Central Equatoria,5,n_fatality_proxy
2022-04,Central Equatoria,4,n_fatality_proxy
2022-05,Central Equatoria,4,n_fatality_proxy
2022-06,Central Equatoria,4,n_fatality_proxy
2022-07,Central Equatoria,3,n_fatality_proxy
2022-08,Central Equatoria,4,n_fatality_proxy
2022-09,Central Equatoria,3,n_fatality_proxy
2022-10,Central Equatoria,4,n_fatality_proxy
2022-11,Central Equatoria,4,n_fatality_proxy
2022-12,Central Equatoria,5,n_fatality_proxy
2023-01,Central Equatoria,4,n_fatality_proxy
2023-02,Central Equatoria,4,n_fatality_proxy
2023-03,Central Equatoria,4,n_fatality_proxy
2023-04,Central Equatoria,4,n_fatality_proxy
2023-05,Central Equatoria,5,n_fatality_proxy
2023-06,Central Equatoria,4,n_fatality_proxy
2023-07,Central Equatoria,3,n_fatality_proxy
2023-08,Central Equatoria,5,n_fatality_proxy
2023-09,Central Equatoria,5,n_fatality_proxy
2023-10,Central Equatoria,4,n_fatality_proxy
2023-11,Central Equatoria,4,n_fatality_proxy
2023-12,Central Equatoria,4,n_fatality_proxy
2024-01,Central Equatoria,4,n_fatality_proxy
2024-02,Central Equatoria,3,n_fatality_proxy
2024-03,Central Equatoria,3,n_fatality_proxy
2024-04,Central Equatoria,4,n_fatality_proxy
2024-05,Central Equatoria,5,n_fatality_proxy
2024-06,Central Equatoria,4,n_fatality_proxy
2024-07,Central Equatoria,3,n_fatality_proxy
2024-08,Central Equatoria,4,n_fatality_proxy
2024-09,Central Equatoria,3,n_fatality_proxy
2024-10,Central Equatoria,4,n_fatality_proxy
2024-11,Central Equatoria,4,n_fatality_proxy
2024-12,Central Equatoria,4,n_fatality_proxy
2025-01,Central Equatoria,5,n_fatality_proxy
2025-02,Central Equatoria,4,n_fatality_proxy
2025-03,Central Equatoria,4,n_fatality_proxy
2025-04,Central Equatoria,4,n_fatality_proxy
2025-05,Central Equatoria,4,n_fatality_proxy
2025-06,Central Equatoria,4,n_fatality_proxy
2025-07,Central Equatoria,4,n_fatality_proxy
2025-08,Central Equatoria,3,n_fatality_proxy
2025-09,Central Equatoria,4,n_fatality_proxy
2025-10,Central Equatoria,2,n_fatality_proxy
2025-11,Central Equatoria,3,n_fatality_proxy
2025-12,Central Equatoria,4,n_fatality_proxy
2014-03,Eastern Equatoria,1,n_fatality_proxy
2014-04,Eastern Equatoria,1,n_fatality_proxy
2014-05,Eastern Equatoria,3,n_fatality_proxy
2014-07,Eastern Equatoria,1,n_fatality_proxy
2014-11,Eastern Equatoria,1,n_fatality_proxy
2014-12,Eastern Equatoria,2,n_fatality_proxy
2015-01,Eastern Equatoria,1,n_fatality_proxy
2015-02,Eastern Equatoria,6,n_fatality_proxy
2015-03,Eastern Equatoria,6,n_fatality_proxy
2015-04,Eastern Equatoria,6,n_fatality_proxy
2015-05,Eastern Equatoria,6,n_fatality_proxy
2015-06,Eastern Equatoria,6,n_fatality_proxy
2015-07,Eastern Equatoria,6,n_fatality_proxy
2015-08,Eastern Equatoria,6,n_fatality_proxy
2015-09,Eastern Equatoria,6,n_fatality_proxy
2015-10,Eastern Equatoria,6,n_fatality_proxy
2015-11,Eastern Equatoria,6,n_fatality_proxy
2015-12,Eastern Equatoria,6,n_fatality_proxy
2016-01,Eastern Equatoria,6,n_fatality_proxy
2016-02,Eastern Equatoria,6,n_fatality_proxy
2016-03,Eastern Equatoria,6,n_fatality_proxy
2016-04,Eastern Equatoria,6,n_fatality_proxy
2016-05,Eastern Equatoria,6,n_fatality_proxy
2016-06,Eastern Equatoria,6,n_fatality_proxy
2016-07,Eastern Equatoria,6,n_fatality_proxy
2016-08,Eastern Equatoria,6,n_fatality_proxy
2016-09,Eastern Equatoria,6,n_fatality_proxy
2016-10,Eastern Equatoria,6,n_fatality_proxy
2016-11,Eastern Equatoria,6,n_fatality_proxy
2016-12,Eastern Equatoria,6,n_fatality_proxy
2017-01,Eastern Equatoria,6,n_fatality_proxy
2017-02,Eastern Equatoria,6,n_fatality_proxy
2017-03,Eastern Equatoria,6,n_fatality_proxy
2017-04,Eastern Equatoria,6,n_fatality_proxy
2017-05,Eastern Equatoria,6,n_fatality_proxy
2017-06,Eastern Equatoria,6,n_fatality_proxy
2017-07,Eastern Equatoria,6,n_fatality_proxy
2017-08,Eastern Equatoria,6,n_fatality_proxy
2017-09,Eastern Equatoria,6,n_fatality_proxy
2017-10,Eastern Equatoria,6,n_fatality_proxy
2017-11,Eastern Equatoria,6,n_fatality_proxy
2017-12,Eastern Equatoria,5,n_fatality_proxy
2018-01,Eastern Equatoria,5,n_fatality_proxy
2018-02,Eastern Equatoria,5,n_fatality_proxy
2018-03,Eastern Equatoria,5,n_fatality_proxy
2018-04,Eastern Equatoria,6,n_fatality_proxy
2018-05,Eastern Equatoria,5,n_fatality_proxy
2018-06,Eastern Equatoria,6,n_fatality_proxy
2018-07,Eastern Equatoria,5,n_fatality_proxy
2018-08,Eastern Equatoria,6,n_fatality_proxy
2018-09,Eastern Equatoria,6,n_fatality_proxy
2018-10,Eastern Equatoria,5,n_fatality_proxy
2018-11,Eastern Equatoria,6,n_fatality_proxy
2018-12,Eastern Equatoria,6,n_fatality_proxy
2019-01,Eastern Equatoria,5,n_fatality_proxy
2019-02,Eastern Equatoria,5,n_fatality_proxy
2019-03,Eastern Equatoria,4,n_fatality_proxy
2019-04,Eastern Equatoria,4,n_fatality_proxy
2019-05,Eastern Equatoria,4,n_fatality_proxy
2019-06,Eastern Equatoria,4,n_fatality_proxy
2019-07,Eastern Equatoria,4,n_fatality_proxy
2019-08,Eastern Equatoria,4,n_fatality_proxy
2019-09,Eastern Equatoria,3,n_fatality_proxy
2019-10,Eastern Equatoria,4,n_fatality_proxy
2019-11,Eastern Equatoria,4,n_fatality_proxy
2019-12,Eastern Equatoria,4,n_fatality_proxy
2020-01,Eastern Equatoria,4,n_fatality_proxy
2020-02,Eastern Equatoria,5,n_fatality_proxy
2020-03,Eastern Equatoria,4,n_fatality_proxy
2020-04,Eastern Equatoria,4,n_fatality_proxy
2020-05,Eastern Equatoria,5,n_fatality_proxy
2020-06,Eastern Equatoria,4,n_fatality_proxy
2020-07,Eastern Equatoria,3,n_fatality_proxy
2020-08,Eastern Equatoria,5,n_fatality_proxy
2020-09,Eastern Equatoria,4,n_fatality_proxy
2020-10,Eastern Equatoria,4,n_fatality_proxy
2020-11,Eastern Equatoria,5,n_fatality_proxy
2020-12,Eastern Equatoria,4,n_fatality_proxy
2021-01,Eastern Equatoria,4,n_fatality_proxy
2021-02,Eastern Equatoria,4,n_fatality_proxy
2021-03,Eastern Equatoria,6,n_fatality_proxy
2021-04,Eastern Equatoria,5,n_fatality_proxy
2021-05,Eastern Equatoria,6,n_fatality_proxy
2021-06,Eastern Equatoria,5,n_fatality_proxy
2021-07,Eastern Equatoria,5,n_fatality_proxy
2021-08,Eastern Equatoria,5,n_fatality_proxy
2021-09,Eastern Equatoria,5,n_fatality_proxy
2021-10,Eastern Equatoria,4,n_fatality_proxy
2021-11,Eastern Equatoria,4,n_fatality_proxy
2021-12,Eastern Equatoria,5,n_fatality_proxy
2022-01,Eastern Equatoria,4,n_fatality_proxy
2022-02,Eastern Equatoria,4,n_fatality_proxy
2022-03,Eastern Equatoria,5,n_fatality_proxy
2022-04,Eastern Equatoria,4,n_fatality_proxy
2022-05,Eastern Equatoria,4,n_fatality_proxy
2022-06,Eastern Equatoria,4,n_fatality_proxy
2022-07,Eastern Equatoria,3,n_fatality_proxy
2022-08,Eastern Equatoria,4,n_fatality_proxy
2022-09,Eastern Equatoria,3,n_fatality_proxy
2022-10,Eastern Equatoria,4,n_fatality_proxy
2022-11,Eastern Equatoria,4,n_fatality_proxy
2022-12,Eastern Equatoria,5,n_fatality_proxy
2023-01,Eastern Equatoria,4,n_fatality_proxy
2023-02,Eastern Equatoria,4,n_fatality_proxy
2023-03,Eastern Equatoria,4,n_fatality_proxy
2023-04,Eastern Equatoria,4,n_fatality_proxy
2023-05,Eastern Equatoria,5,n_fatality_proxy
2023-06,Eastern Equatoria,4,n_fatality_proxy
2023-07,Eastern Equatoria,3,n_fatality_proxy
2023-08,Eastern Equatoria,5,n_fatality_proxy
2023-09,Eastern Equatoria,5,n_fatality_proxy
2023-10,Eastern Equatoria,4,n_fatality_proxy
2023-11,Eastern Equatoria,4,n_fatality_proxy
2023-12,Eastern Equatoria,4,n_fatality_proxy
2024-01,Eastern Equatoria,4,n_fatality_proxy
2024-02,Eastern Equatoria,3,n_fatality_proxy
2024-03,Eastern Equatoria,3,n_fatality_proxy
2024-04,Eastern Equatoria,4,n_fatality_proxy
2024-05,Eastern Equatoria,5,n_fatality_proxy
2024-06,Eastern Equatoria,4,n_fatality_proxy
2024-07,Eastern Equatoria,3,n_fatality_proxy
2024-08,Eastern Equatoria,4,n_fatality_proxy
2024-09,Eastern Equatoria,3,n_fatality_proxy
2024-10,Eastern Equatoria,4,n_fatality_proxy
2024-11,Eastern Equatoria,4,n_fatality_proxy
2024-12,Eastern Equatoria,4,n_fatality_proxy
2025-01,Eastern Equatoria,5,n_fatality_proxy
2025-02,Eastern Equatoria,4,n_fatality_proxy
2025-03,Eastern Equatoria,4,n_fatality_proxy
2025-04,Eastern Equatoria,4,n_fatality_proxy
2025-05,Eastern Equatoria,4,n_fatality_proxy
2025-06,Eastern Equatoria,4,n_fatality_proxy
2025-07,Eastern Equatoria,4,n_fatality_proxy
2025-08,Eastern Equatoria,3,n_fatality_proxy
2025-09,Eastern Equatoria,4,n_fatality_proxy
2025-10,Eastern Equatoria,2,n_fatality_proxy
2025-11,Eastern Equatoria,3,n_fatality_proxy
2025-12,Eastern Equatoria,4,n_fatality_proxy
2014-03,Jonglei,1,n_fatality_proxy
2014-04,Jonglei,1,n_fatality_proxy
2014-05,Jonglei,3,n_fatality_proxy
2014-07,Jonglei,1,n_fatality_proxy
2014-11,Jonglei,1,n_fatality_proxy
2014-12,Jonglei,2,n_fatality_proxy
2015-01,Jonglei,1,n_fatality_proxy
2015-02,Jonglei,6,n_fatality_proxy
2015-03,Jonglei,6,n_fatality_proxy
2015-04,Jonglei,6,n_fatality_proxy
2015-05,Jonglei,6,n_fatality_proxy
2015-06,Jonglei,6,n_fatality_proxy
2015-07,Jonglei,6,n_fatality_proxy
2015-08,Jonglei,6,n_fatality_proxy
2015-09,Jonglei,6,n_fatality_proxy
2015-10,Jonglei,6,n_fatality_proxy
2015-11,Jonglei,6,n_fatality_proxy
2015-12,Jonglei,6,n_fatality_proxy
2016-01,Jonglei,6,n_fatality_proxy
2016-02,Jonglei,6,n_fatality_proxy
2016-03,Jonglei,6,n_fatality_proxy
2016-04,Jonglei,6,n_fatality_proxy
2016-05,Jonglei,6,n_fatality_proxy
2016-06,Jonglei,6,n_fatality_proxy
2016-07,Jonglei,6,n_fatality_proxy
2016-08,Jonglei,6,n_fatality_proxy
2016-09,Jonglei,6,n_fatality_proxy
2016-10,Jonglei,6,n_fatality_proxy
2016-11,Jonglei,6,n_fatality_proxy
2016-12,Jonglei,6,n_fatality_proxy
2017-01,Jonglei,6,n_fatality_proxy
2017-02,Jonglei,6,n_fatality_proxy
2017-03,Jonglei,6,n_fatality_proxy
2017-04,Jonglei,6,n_fatality_proxy
2017-05,Jonglei,6,n_fatality_proxy
2017-06,Jonglei,6,n_fatality_proxy
2017-07,Jonglei,6,n_fatality_proxy
2017-08,Jonglei,6,n_fatality_proxy
2017-09,Jonglei,6,n_fatality_proxy
2017-10,Jonglei,6,n_fatality_proxy
2017-11,Jonglei,6,n_fatality_proxy
2017-12,Jonglei,5,n_fatality_proxy
2018-01,Jonglei,5,n_fatality_proxy
2018-02,Jonglei,5,n_fatality_proxy
2018-03,Jonglei,5,n_fatality_proxy
2018-04,Jonglei,6,n_fatality_proxy
2018-05,Jonglei,5,n_fatality_proxy
2018-06,Jonglei,6,n_fatality_proxy
2018-07,Jonglei,5,n_fatality_proxy
2018-08,Jonglei,6,n_fatality_proxy
2018-09,Jonglei,6,n_fatality_proxy
2018-10,Jonglei,5,n_fatality_proxy
2018-11,Jonglei,6,n_fatality_proxy
2018-12,Jonglei,6,n_fatality_proxy
2019-01,Jonglei,5,n_fatality_proxy
2019-02,Jonglei,5,n_fatality_proxy
2019-03,Jonglei,4,n_fatality_proxy
2019-04,Jonglei,4,n_fatality_proxy
2019-05,Jonglei,4,n_fatality_proxy
2019-06,Jonglei,4,n_fatality_proxy
2019-07,Jonglei,4,n_fatality_proxy
2019-08,Jonglei,4,n_fatality_proxy
2019-09,Jonglei,3,n_fatality_proxy
2019-10,Jonglei,4,n_fatality_proxy
2019-11,Jonglei,4,n_fatality_proxy
2019-12,Jonglei,4,n_fatality_proxy
2020-01,Jonglei,4,n_fatality_proxy
2020-02,Jonglei,5,n_fatality_proxy
2020-03,Jonglei,4,n_fatality_proxy
2020-04,Jonglei,4,n_fatality_proxy
2020-05,Jonglei,5,n_fatality_proxy
2020-06,Jonglei,4,n_fatality_proxy
2020-07,Jonglei,3,n_fatality_proxy
2020-08,Jonglei,5,n_fatality_proxy
2020-09,Jonglei,4,n_fatality_proxy
2020-10,Jonglei,4,n_fatality_proxy
2020-11,Jonglei,5,n_fatality_proxy
2020-12,Jonglei,4,n_fatality_proxy
2021-01,Jonglei,4,n_fatality_proxy
2021-02,Jonglei,4,n_fatality_proxy
2021-03,Jonglei,6,n_fatality_proxy
2021-04,Jonglei,5,n_fatality_proxy
2021-05,Jonglei,6,n_fatality_proxy
2021-06,Jonglei,5,n_fatality_proxy
2021-07,Jonglei,5,n_fatality_proxy
2021-08,Jonglei,5,n_fatality_proxy
2021-09,Jonglei,5,n_fatality_proxy
2021-10,Jonglei,4,n_fatality_proxy
2021-11,Jonglei,4,n_fatality_proxy
2021-12,Jonglei,5,n_fatality_proxy
2022-01,Jonglei,4,n_fatality_proxy
2022-02,Jonglei,4,n_fatality_proxy
2022-03,Jonglei,5,n_fatality_proxy
2022-04,Jonglei,4,n_fatality_proxy
2022-05,Jonglei,4,n_fatality_proxy
2022-06,Jonglei,4,n_fatality_proxy
2022-07,Jonglei,3,n_fatality_proxy
2022-08,Jonglei,4,n_fatality_proxy
2022-09,Jonglei,3,n_fatality_proxy
2022-10,Jonglei,4,n_fatality_proxy
2022-11,Jonglei,4,n_fatality_proxy
2022-12,Jonglei,5,n_fatality_proxy
2023-01,Jonglei,4,n_fatality_proxy
2023-02,Jonglei,4,n_fatality_proxy
2023-03,Jonglei,4,n_fatality_proxy
2023-04,Jonglei,4,n_fatality_proxy
2023-05,Jonglei,5,n_fatality_proxy
2023-06,Jonglei,4,n_fatality_proxy
2023-07,Jonglei,3,n_fatality_proxy
2023-08,Jonglei,5,n_fatality_proxy
2023-09,Jonglei,5,n_fatality_proxy
2023-10,Jonglei,4,n_fatality_proxy
2023-11,Jonglei,4,n_fatality_proxy
2023-12,Jonglei,4,n_fatality_proxy
2024-01,Jonglei,4,n_fatality_proxy
2024-02,Jonglei,3,n_fatality_proxy
2024-03,Jonglei,3,n_fatality_proxy
2024-04,Jonglei,4,n_fatality_proxy
2024-05,Jonglei,5,n_fatality_proxy
2024-06,Jonglei,4,n_fatality_proxy
2024-07,Jonglei,3,n_fatality_proxy
2024-08,Jonglei,4,n_fatality_proxy
2024-09,Jonglei,3,n_fatality_proxy
2024-10,Jonglei,4,n_fatality_proxy
2024-11,Jonglei,4,n_fatality_proxy
2024-12,Jonglei,4,n_fatality_proxy
2025-01,Jonglei,5,n_fatality_proxy
2025-02,Jonglei,4,n_fatality_proxy
2025-03,Jonglei,4,n_fatality_proxy
2025-04,Jonglei,4,n_fatality_proxy
2025-05,Jonglei,4,n_fatality_proxy
2025-06,Jonglei,4,n_fatality_proxy
2025-07,Jonglei,4,n_fatality_proxy
2025-08,Jonglei,3,n_fatality_proxy
2025-09,Jonglei,4,n_fatality_proxy
2025-10,Jonglei,2,n_fatality_proxy
2025-11,Jonglei,3,n_fatality_proxy
2025-12,Jonglei,4,n_fatality_proxy
2014-03,Lakes,1,n_fatality_proxy
2014-04,Lakes,1,n_fatality_proxy
2014-05,Lakes,3,n_fatality_proxy
2014-07,Lakes,1,n_fatality_proxy
2014-11,Lakes,1,n_fatality_proxy
2014-12,Lakes,2,n_fatality_proxy
2015-01,Lakes,1,n_fatality_proxy
2015-02,Lakes,6,n_fatality_proxy
2015-03,Lakes,6,n_fatality_proxy
2015-04,Lakes,6,n_fatality_proxy
2015-05,Lakes,6,n_fatality_proxy
2015-06,Lakes,6,n_fatality_proxy
2015-07,Lakes,6,n_fatality_proxy
2015-08,Lakes,6,n_fatality_proxy
2015-09,Lakes,6,n_fatality_proxy
2015-10,Lakes,6,n_fatality_proxy
2015-11,Lakes,6,n_fatality_proxy
2015-12,Lakes,6,n_fatality_proxy
2016-01,Lakes,6,n_fatality_proxy
2016-02,Lakes,6,n_fatality_proxy
2016-03,Lakes,6,n_fatality_proxy
2016-04,Lakes,6,n_fatality_proxy
2016-05,Lakes,6,n_fatality_proxy
2016-06,Lakes,6,n_fatality_proxy
2016-07,Lakes,6,n_fatality_proxy
2016-08,Lakes,6,n_fatality_proxy
2016-09,Lakes,6,n_fatality_proxy
2016-10,Lakes,6,n_fatality_proxy
2016-11,Lakes,6,n_fatality_proxy
2016-12,Lakes,6,n_fatality_proxy
2017-01,Lakes,6,n_fatality_proxy
2017-02,Lakes,6,n_fatality_proxy
2017-03,Lakes,6,n_fatality_proxy
2017-04,Lakes,6,n_fatality_proxy
2017-05,Lakes,6,n_fatality_proxy
2017-06,Lakes,6,n_fatality_proxy
2017-07,Lakes,6,n_fatality_proxy
2017-08,Lakes,6,n_fatality_proxy
2017-09,Lakes,6,n_fatality_proxy
2017-10,Lakes,6,n_fatality_proxy
2017-11,Lakes,6,n_fatality_proxy
2017-12,Lakes,5,n_fatality_proxy
2018-01,Lakes,5,n_fatality_proxy
2018-02,Lakes,5,n_fatality_proxy
2018-03,Lakes,5,n_fatality_proxy
2018-04,Lakes,6,n_fatality_proxy
2018-05,Lakes,5,n_fatality_proxy
2018-06,Lakes,6,n_fatality_proxy
2018-07,Lakes,5,n_fatality_proxy
2018-08,Lakes,6,n_fatality_proxy
2018-09,Lakes,6,n_fatality_proxy
2018-10,Lakes,5,n_fatality_proxy
2018-11,Lakes,6,n_fatality_proxy
2018-12,Lakes,6,n_fatality_proxy
2019-01,Lakes,5,n_fatality_proxy
2019-02,Lakes,5,n_fatality_proxy
2019-03,Lakes,4,n_fatality_proxy
2019-04,Lakes,4,n_fatality_proxy
2019-05,Lakes,4,n_fatality_proxy
2019-06,Lakes,4,n_fatality_proxy
2019-07,Lakes,4,n_fatality_proxy
2019-08,Lakes,4,n_fatality_proxy
2019-09,Lakes,3,n_fatality_proxy
2019-10,Lakes,4,n_fatality_proxy
2019-11,Lakes,4,n_fatality_proxy
2019-12,Lakes,4,n_fatality_proxy
2020-01,Lakes,4,n_fatality_proxy
2020-02,Lakes,5,n_fatality_proxy
2020-03,Lakes,4,n_fatality_proxy
2020-04,Lakes,4,n_fatality_proxy
2020-05,Lakes,5,n_fatality_proxy
2020-06,Lakes,4,n_fatality_proxy
2020-07,Lakes,3,n_fatality_proxy
2020-08,Lakes,5,n_fatality_proxy
2020-09,Lakes,4,n_fatality_proxy
2020-10,Lakes,4,n_fatality_proxy
2020-11,Lakes,5,n_fatality_proxy
2020-12,Lakes,4,n_fatality_proxy
2021-01,Lakes,4,n_fatality_proxy
2021-02,Lakes,4,n_fatality_proxy
2021-03,Lakes,6,n_fatality_proxy
2021-04,Lakes,5,n_fatality_proxy
2021-05,Lakes,6,n_fatality_proxy
2021-06,Lakes,5,n_fatality_proxy
2021-07,Lakes,5,n_fatality_proxy
2021-08,Lakes,5,n_fatality_proxy
2021-09,Lakes,5,n_fatality_proxy
2021-10,Lakes,4,n_fatality_proxy
2021-11,Lakes,4,n_fatality_proxy
2021-12,Lakes,5,n_fatality_proxy
2022-01,Lakes,4,n_fatality_proxy
2022-02,Lakes,4,n_fatality_proxy
2022-03,Lakes,5,n_fatality_proxy
2022-04,Lakes,4,n_fatality_proxy
2022-05,Lakes,4,n_fatality_proxy
2022-06,Lakes,4,n_fatality_proxy
2022-07,Lakes,3,n_fatality_proxy
2022-08,Lakes,4,n_fatality_proxy
2022-09,Lakes,3,n_fatality_proxy
2022-10,Lakes,4,n_fatality_proxy
2022-11,Lakes,4,n_fatality_proxy
2022-12,Lakes,5,n_fatality_proxy
2023-01,Lakes,4,n_fatality_proxy
2023-02,Lakes,4,n_fatality_proxy
2023-03,Lakes,4,n_fatality_proxy
2023-04,Lakes,4,n_fatality_proxy
2023-05,Lakes,5,n_fatality_proxy
2023-06,Lakes,4,n_fatality_proxy
2023-07,Lakes,3,n_fatality_proxy
2023-08,Lakes,5,n_fatality_proxy
2023-09,Lakes,5,n_fatality_proxy
2023-10,Lakes,4,n_fatality_proxy
2023-11,Lakes,4,n_fatality_proxy
2023-12,Lakes,4,n_fatality_proxy
2024-01,Lakes,4,n_fatality_proxy
2024-02,Lakes,3,n_fatality_proxy
2024-03,Lakes,3,n_fatality_proxy
2024-04,Lakes,4,n_fatality_proxy
2024-05,Lakes,5,n_fatality_proxy
2024-06,Lakes,4,n_fatality_proxy
2024-07,Lakes,3,n_fatality_proxy
2024-08,Lakes,4,n_fatality_proxy
